"","Unemp.Emp.Ratio","Star.Year","month","prez","senate","house","date"
"1","0.035032121389573","2294","1","R","K ","K ","1/2294"
"2","0.0400027493298509","2294","2","R","K ","K ","2/2294"
"3","0.0415980302058227","2294","3","R","K ","K ","3/2294"
"4","0.0409325624882057","2294","4","R","K ","K ","4/2294"
"5","0.0366093960659591","2294","5","R","K ","K ","5/2294"
"6","0.0376895970583729","2294","6","R","K ","K ","6/2294"
"7","0.0375288291954959","2294","7","R","K ","K ","7/2294"
"8","0.0402011769536061","2294","8","R","K ","K ","8/2294"
"9","0.0393416847538154","2294","9","R","K ","K ","9/2294"
"10","0.0386901193758885","2294","10","R","K ","K ","10/2294"
"11","0.0391153260181112","2294","11","R","K ","K ","11/2294"
"12","0.0413517194416071","2294","12","R","K ","K ","12/2294"
"13","0.0446239793725827","2295","1","R","R ","R ","1/2295"
"14","0.0489451621770203","2295","2","R","R ","R ","2/2295"
"15","0.0522026773254311","2295","3","R","R ","R ","3/2295"
"16","0.0564531490813376","2295","4","R","R ","R ","4/2295"
"17","0.0644113149847095","2295","5","R","R ","R ","5/2295"
"18","0.0660463163786469","2295","6","R","R ","R ","6/2295"
"19","0.0718831963630005","2295","7","R","R ","R ","7/2295"
"20","0.0730525985678694","2295","8","R","R ","R ","8/2295"
"21","0.0703146707418727","2295","9","R","R ","R ","9/2295"
"22","0.0858405070806195","2295","10","R","R ","R ","10/2295"
"23","0.0688858625385716","2295","11","R","R ","R ","11/2295"
"24","0.0702394329674129","2295","12","R","R ","R ","12/2295"
"25","0.0698533876984471","2296","1","R","R ","R ","1/2296"
"26","0.0681546639885024","2296","2","R","R ","R ","2/2296"
"27","0.0671424611973392","2296","3","R","R ","R ","3/2296"
"28","0.061024529300309","2296","4","R","R ","R ","4/2296"
"29","0.0585517229620283","2296","5","R","R ","R ","5/2296"
"30","0.0570175438596491","2296","6","R","R ","R ","6/2296"
"31","0.0528804596532262","2296","7","R","R ","R ","7/2296"
"32","0.0468083683127916","2296","8","R","R ","R ","8/2296"
"33","0.0465631556861099","2296","9","R","R ","R ","9/2296"
"34","0.0438941190241292","2296","10","R","R ","R ","10/2296"
"35","0.0433690135182672","2296","11","R","R ","R ","11/2296"
"36","0.0444059297649296","2296","12","R","R ","R ","12/2296"
"37","0.0386511503118921","2297","1","R","R ","R ","1/2297"
"38","0.0354838168988116","2297","2","R","R ","R ","2/2297"
"39","0.0351815367295243","2297","3","R","R ","R ","3/2297"
"40","0.0320426121658401","2297","4","R","R ","R ","4/2297"
"41","0.0308367116368711","2297","5","R","R ","R ","5/2297"
"42","0.0334619255283462","2297","6","R","R ","R ","6/2297"
"43","0.0324157191302613","2297","7","R","R ","R ","7/2297"
"44","0.0322198886555322","2297","8","R","R ","R ","8/2297"
"45","0.0346155778473699","2297","9","R","R ","R ","9/2297"
"46","0.0365605732377937","2297","10","R","R ","R ","10/2297"
"47","0.0363994919446487","2297","11","R","R ","R ","11/2297"
