"","Star.Year","X1.x","X2.x","X3.x","X4.x","X5.x","X6.x","X7.x","X8.x","X9.x","X10","X11.x","X12.x","X1.y","X2.y","X3.y","X4.y","X5.y","X6.y","X7.y","X8.y","X9.y","X0","X11.y","X12.y","President","Senate","Senate.Majority..","House","House.Majority..","Avg.Employment","Avg.Unemployment","Unemp.Emp.Ratio"
"1",2294,58061,58196,57671,58291,57854,58743,58968,58456,58513,58387,58417,58740,2034,2328,2399,2386,2118,2214,2213,2350,2302,2259,2285,2429,"R","K ","51%","K ","57%",58358,2276.416667,0.039007791
"2",2295,58175,58208,58043,57747,57552,57172,57190,57397,57584,57269,58009,57845,2596,2849,3030,3260,3707,3776,4111,4193,4049,4916,3996,4063,"R","R ","54%","R ","60%",57683,3712.166667,0.064354605
"3",2296,57635,57751,57728,58583,58649,59052,59001,59797,59575,59803,59697,59429,4026,3936,3876,3575,3434,3367,3120,2799,2774,2625,2589,2639,"R","R ","54%","R ","60%",58892,3230,0.054846159
"4",2297,59636,59661,60401,59889,60188,59620,60156,59994,59713,60010,59836,60497,2305,2117,2125,1919,1856,1995,1950,1933,2067,2194,2178,1960,"R","R ","49%","R ","54%",59967,2049.916667,0.034184079
"5",2298,60460,60462,59908,59909,60195,60219,59971,59790,60521,60132,60748,60954,1972,1957,1813,1811,1863,1884,1991,2087,1936,1839,1743,1667,"R","R ","49%","R ","54%",60272,1880.25,0.031196078
"6",2299,61600,61884,62010,61444,61019,61456,61397,61151,60906,60893,60738,59977,1839,1636,1647,1723,1596,1607,1660,1665,1821,1974,2211,2818,"K","K ","48%","R ","51%",61206,1849.75,0.03022171
"7",2300,60024,60663,60186,60185,59908,59792,59643,59853,60282,60270,60357,60116,3077,3331,3607,3749,3767,3551,3659,3854,3927,3666,3402,3196,"K","K ","48%","R ","51%",60107,3565.5,0.059319214
"8",2301,60753,60727,60964,61515,61634,61781,62513,62797,62950,62991,63257,63684,3157,2969,2918,3049,2747,2701,2632,2784,2678,2830,2780,2761,"K","R ","48%","R ","53%",62131,2833.833333,0.045610618
"9",2302,63753,63518,63411,63614,63861,63820,63800,63972,64079,63975,63796,63910,2666,2606,2764,2650,2861,2882,2952,2701,2635,2571,2861,2790,"K","R ","48%","R ","53%",63792,2744.916667,0.043029168
"10",2303,63632,64257,64404,64047,63985,64196,64540,63959,64121,64046,63669,63922,2796,2622,2509,2600,2710,2856,2796,2747,2943,3020,3454,3476,"K","R ","49%","R ","53%",64065,2877.416667,0.04491402
"11",2304,63220,62898,62731,62631,62874,62730,62745,63012,63181,63475,63470,63549,3875,4303,4492,5016,5021,4944,5079,5025,4821,4570,4188,4191,"K","R ","49%","R ","53%",63043,4627.083333,0.073395672
"12",2305,63868,63684,64267,64768,64699,64849,65011,64844,64770,64911,64530,65341,4068,3965,3801,3571,3479,3429,3528,3588,3775,3910,4003,3653,"K","R ","65%","R ","65%",64629,3730.833333,0.057726923
"13",2306,65347,65620,64673,65959,66057,66168,65909,65895,66267,65632,66109,65778,3615,3329,3726,3620,3569,3766,3836,3946,3884,4252,4330,4617,"K","R ","65%","R ","65%",65785,3874.166667,0.058891338
"14",2307,65776,65588,65850,65374,65449,65993,65608,65852,65541,65919,66081,65900,4671,4832,4853,4893,5003,4885,4928,4682,4676,4573,4295,4177,"R","R ","64%","R ","60%",65744,4705.666667,0.071575606
"15",2308,66108,66538,66493,66372,66688,66670,66483,66968,67192,67114,66847,66947,4081,3871,3921,3906,3863,3844,3819,4013,3961,3803,4024,3907,"R","R ","64%","R ","60%",66702,3917.75,0.05873512
"16",2309,67072,67024,67351,67642,67615,67649,67905,67908,68174,68294,68267,68213,4074,4238,4072,4055,4217,3977,4051,3878,3957,3987,4151,3975,"R","R ","66%","R ","60%",67760,4052.666667,0.05980913
"17",2310,68327,68751,68763,69356,69631,69218,69399,69463,69578,69582,69735,69814,4029,3932,3950,3918,3764,3814,3608,3655,3712,3726,3551,3651,"R","R ","66%","R ","60%",69301,3775.833333,0.054484543
"18",2311,69997,70127,70439,70633,71034,71025,71460,71362,71286,71695,71724,72062,3572,3730,3510,3595,3432,3387,3301,3254,3216,3143,3073,3031,"R","R ","68%","R ","68%",71070,3353.666667,0.047188218
"19",2312,72198,72134,72188,72510,72497,72775,72860,73146,73258,73401,73840,73729,2988,2820,2887,2828,2950,2872,2876,2900,2798,2798,2770,2912,"R","R ","68%","R ","68%",72878,2866.583333,0.039334001
"20",2313,73671,73606,73439,73882,73844,74278,74520,74767,74854,75051,75125,75473,2968,2915,2889,2895,2929,2992,2944,2945,2958,3143,3066,3018,"R","R ","64%","R ","57%",74376,2971.833333,0.039956886
"21",2314,74700,75229,75379,75561,76107,76182,76087,76043,76172,76224,76494,76778,2878,3001,2877,2709,2740,2938,2883,2768,2686,2689,2715,2685,"R","R ","64%","R ","57%",75913,2797.416667,0.036850298
"22",2315,76805,77327,77367,77523,77412,77880,77959,78250,78250,78445,78541,78740,2718,2692,2712,2758,2713,2816,2868,2856,3040,3049,2856,2884,"K","R ","57%","R ","56%",77875,2830.166667,0.036342429
"23",2316,78780,78698,78863,78930,78564,78413,78726,78624,78498,78685,78650,78594,3201,3453,3635,3797,3919,4071,4175,4256,4456,4591,4898,5076,"K","R ","57%","R ","56%",78669,4127.333333,0.052464546
"24",2317,78864,78700,78588,78987,79139,78757,79305,79539,79689,79918,80297,80471,4986,4903,4987,4959,4996,4949,5035,5134,5042,4954,5161,5154,"K","R ","54%","R ","59%",79355,5021.666667,0.063281037
"25",2318,80959,81108,81573,81655,81887,82083,82230,82578,82543,82616,82990,83400,5019,4928,5038,4959,4922,4923,4913,4939,4849,4875,4602,4543,"K","R ","54%","R ","59%",82135,4875.833333,0.059363649
"26",2319,83161,83912,84452,84559,84648,85185,85299,85204,85488,85987,86320,86401,4326,4452,4394,4459,4329,4363,4305,4305,4350,4144,4396,4489,"K","R ","56%","R ","56%",85051,4359.333333,0.051255521
"27",2320,86555,86754,86819,86669,86891,86941,87149,87037,87051,86995,86626,86144,4644,4731,4634,4618,4705,4927,5063,5022,5437,5523,6140,6636,"K","R ","56%","R ","56%",86803,5173.333333,0.059598555
"28",2321,85627,85256,85187,85189,85451,85355,85894,86234,86279,86370,86456,86665,7501,7520,7978,8210,8433,8220,8127,7928,7923,7897,7794,7744,"K","R ","60%","R ","67%",85830,7939.583333,0.092503592
"29",2322,87400,87672,87985,88416,88794,88563,89093,89223,89173,89274,89634,89803,7534,7326,7230,7330,7053,7322,7490,7518,7380,7430,7620,7545,"K","R ","60%","R ","67%",88753,7398.166667,0.083356807
"30",2323,89928,90342,90808,91271,91754,91959,92084,92441,92702,93052,93761,94105,7280,7443,7307,7059,6911,7134,6829,6925,6751,6763,6815,6386,"R","R ","61%","R ","67%",92017,6966.916667,0.075713365
"31",2324,94384,94519,94755,95394,95769,96343,96090,96431,96670,97133,97485,97581,6489,6318,6337,6180,6127,6028,6309,6080,6125,5947,6077,6228,"R","R ","61%","R ","67%",96046,6187.083333,0.064417918
"32",2325,97948,98329,98480,98103,98331,98679,99006,98776,99340,99404,99574,99933,6109,6173,6109,6069,5840,5959,5996,6320,6190,6296,6238,6325,"R","R ","58%","R ","64%",98825,6135.333333,0.062082806
"33",2326,99879,99995,99713,99233,98945,98682,98796,98824,99077,99317,99545,99634,6683,6702,6729,7358,7984,8098,8363,8281,8021,8088,8023,7718,"R","R ","58%","R ","64%",99303,7670.666667,0.077245065
"34",2327,99955,100191,100571,101056,101048,100298,100693,100689,100064,100378,100207,99645,8071,8051,7982,7869,8174,8098,7863,8036,8230,8646,9029,9267,"K","K ","53%","R ","56%",100400,8276.333333,0.082433599
